cp_id,cp_state,district_id,address_en,address2_en,address_tc,address2_tc,address_sc,address2_sc,lat,lgt,waste_type,legend,accessibilty_notes,contact_en,contact_tc,contact_sc,openhour_en,openhour_tc,openhour_sc
343,Accepted,Tuen_Mun,Lung Kwu Tan Seashore (near Lung Kwu Tan Village Management Office),,龍鼓灘海邊(近龍鼓灘村公所),,龙鼓滩海边(近龙鼓滩村公所),,22.390652,113.920099,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
347,Accepted,Tuen_Mun,"Near Staircase Area, Yip Wang Road",,業旺路樓梯口附近,,业旺路楼梯口附近,,22.391245,113.968072,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
357,Accepted,Tuen_Mun,Pavement at side of Chung Uk Tsuen Refuse Collection Point (TM-33),,鍾屋村垃圾站(TM-33)旁行人路,,钟屋村垃圾站(TM-33)旁行人路,,22.428936,113.991925,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
361,Accepted,Tuen_Mun,"Entrance of Siu Hang Tsuen RCP, Tuen Mun",,屯門小坑村垃圾收集站 (近入口),,屯门小坑村垃圾收集站 (近入口),,22.413979,113.971701,"Metals,Paper,Plastic Bottle",Recycling Bins at Public Place,Note: For public use,,,,,,
363,Accepted,Tuen_Mun,"near entrance of Lo Tsing Shan Tsuen at So Kwun Wat Road, Tuen Mun",,掃管笏路近老青山村入口,,扫管笏路近老青山村入口,,22.375684,113.999681,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
380,Accepted,Tuen_Mun,"At side of Kar Wo Lei Tsuen RCP(TM-47), Castle Peak Road, Tuen Mun, N.T.",,新界屯門青山公路嘉和里村垃圾站(TM-47)旁,,新界屯门青山公路嘉和里村垃圾站(TM-47)旁,,22.370089,113.995358,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
381,Accepted,Tuen_Mun,Fuk Hang Tsuen Refuse Collection Point (TM-17) at Fuk Hang Tsuen near Fuk Yam School,,福亨村垃圾站 (TM-17)，福亨村近福音學校,,福亨村垃圾站 (TM-17)，福亨村近福音学校,,22.418090,113.993041,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
382,Accepted,Tuen_Mun,Fuk Hang Tsuen Road (near Village Office) Refuse Collection Point (TM-18) at Fuk Hang Tsuen Road near Village Office,,福亨村路(近鄉村辦事處)垃圾站 (TM-18)，福亨村路近鄉村辦事處,,福亨村路(近乡村办事处)垃圾站 (TM-18)，福亨村路近乡村办事处,,22.416831,113.988959,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
383,Accepted,Tuen_Mun,"Castle Peak Road Lam Tei Refuse Collection Point (TM-19) at Lam Tei Bus Stop, Castle Peak Road",,青山公路藍地垃圾站 (TM-19)，青山公路藍地巴士站,,青山公路蓝地垃圾站 (TM-19)，青山公路蓝地巴士站,,22.418405,113.982521,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
384,Accepted,Tuen_Mun,To Yuen Wai Refuse Collection Point (TM-20) at To Yuen Wai,,桃園圍垃圾站 (TM-20)，桃園圍,,桃园围垃圾站 (TM-20)，桃园围,,22.413865,113.981593,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
385,Accepted,Tuen_Mun,"Castle Peak Road Po Yuen Refuse Collection Point (TM-23) at Po Yuen, Castle Peak Road",,青山公路寶園垃圾站 (TM-23)，青山公路寶園,,青山公路宝园垃圾站 (TM-23)，青山公路宝园,,22.426875,113.989227,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
386,Accepted,Tuen_Mun,Kei Lun Wai Refuse Collection Point (TM-24) at Kei Lun Wai,,麒麟圍垃圾站 (TM-24)，麒麟圍,,麒麟围垃圾站 (TM-24)，麒麟围,,22.411515,113.976269,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
388,Accepted,Tuen_Mun,"Tsing Shan Tsuen Hing Choi Street Refuse Collection Point (TM-26) at Tsing Shan Tsuen, Hing Choi Street",,青山村興財街垃圾站 (TM-26)，興財街青山村,,青山村兴财街垃圾站 (TM-26)，兴财街青山村,,22.392358,113.966077,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
389,Accepted,Tuen_Mun,Tsing Chuen Wai (2),,青磚圍(2),,青砖围(2),,22.422540,113.983070,"Metals,Paper,Plastic Bottle",Recycling Bins at Public Place,Note: For public use,,,,,,
391,Accepted,Tuen_Mun,Sun Fung Wai Refuse Collection Point (TM-30) at Sun Fung Wai,,順風圍垃圾站 (TM-30)，順風圍,,顺风围垃圾站 (TM-30)，顺风围,,22.425447,113.988551,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
392,Accepted,Tuen_Mun,"Underneath footbridge at Castle Peak Road, Hung Shui Kiu near bus stop",,青山公路-洪水橋段近天橋底，巴士站附近,,青山公路-洪水桥段近天桥底，巴士站附近,,22.424044,113.987194,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
396,Accepted,Tuen_Mun,Chung Wong Toi Refuse Collection Poinit (TM-38) at Chung Wong Toi,,頌皇臺垃圾站 (TM-38)，頌皇臺,,颂皇台垃圾站 (TM-38)，颂皇台,,22.405149,113.985813,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
397,Accepted,Tuen_Mun,"Wong Ka Wai Refuse Collection Point (TM-39) at Wong Ka Wai, Area 36B",,皇家圍垃圾站 (TM-39)，皇家圍36B區,,皇家围垃圾站 (TM-39)，皇家围36B区,,22.400341,113.979716,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
400,Accepted,Tuen_Mun,So Kwun Wat (near So Kwun Wat Primary School) Refuse Collection Point (TM-45) at So Kwun Wat near So Kwun Wat Primary School,,掃管笏路(近掃管笏公立學校)垃圾站 (TM-45)，掃管笏路(近掃管笏公立學校),,扫管笏路(近扫管笏公立学校)垃圾站 (TM-45)，扫管笏路(近扫管笏公立学校),,22.376481,114.004153,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
404,Accepted,Tuen_Mun,"Tai Lam Chung On Lok Tsuen Refuse Collection Point (TM-52) at On Lok Tsuen, Tai Lam Chung",,大欖涌安樂村垃圾站 (TM-52)，大欖涌安樂村,,大榄涌安乐村垃圾站 (TM-52)，大榄涌安乐村,,22.362799,114.021343,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
406,Accepted,Tuen_Mun,Wong Uk Tsuen Refuse Collection Point (TM-54) at Wong Uk Tsuen,,黃屋村垃圾站 (TM-54)，黃屋村,,黄屋村垃圾站 (TM-54)，黄屋村,,22.364002,114.022571,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
408,Accepted,Tuen_Mun,Tin Sum San Tsuen RCP (TM-75),,田心新村垃圾收集站 (TM-75),,田心新村垃圾收集站 (TM-75),,22.431293,113.992412,"Metals,Paper,Plastic Bottle",Recycling Bins at Public Place,Note: For public use,,,,,,
409,Accepted,Tuen_Mun,Tsz Tin Tsuen (at side of playground) Refuse Collection Point (TM-59) at Tsz Tin Tsuen at side of playground,,紫田村(遊樂場邊)垃圾站 (TM-59)，紫田村遊樂場邊,,紫田村(游乐场边)垃圾站 (TM-59)，紫田村游乐场边,,22.415973,113.975109,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
415,Accepted,Tuen_Mun,Lung Kwu Tan Tsuen Bus Stop Refuse Collection Point (TM-80) at Lung Kwu Tan Tsuen Bus Stop,,龍鼓灘村巴士站垃圾站 (TM-80)，龍鼓灘村巴士站,,龙鼓滩村巴士站垃圾站 (TM-80)，龙鼓滩村巴士站,,22.386547,113.921042,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
420,Accepted,Tuen_Mun,Kwong Tin Street Refuse Collection Point at Kwong Tin Street,,廣田街垃圾站，廣田街,,广田街垃圾站，广田街,,22.427120,113.993234,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
429,Accepted,Yuen_Long,Junction of Tai Tong Road and Ma Tong Road,,大棠路與馬棠路交界,,大棠路与马棠路交界,,22.440619,114.029545,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
440,Accepted,Yuen_Long,Open space opposite to Kam Tin Market Public Toilet,,錦田街市公廁對面的空地,,锦田街市公厕对面的空地,,22.440325,114.065571,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
443,Accepted,Yuen_Long,At side of Lau Fau Shan Roundabout Public Toilet,,流浮山迴旋處公廁旁,,流浮山回旋处公厕旁,,22.466512,113.983916,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
446,Accepted,Yuen_Long,At side of Tai San Wai RCP (YL-143),,大生圍村垃圾站旁 (YL-143),,大生围村垃圾站旁 (YL-143),,22.470864,114.044320,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
447,Accepted,Yuen_Long,At side of Ping Shan San Tsuen RCP,,屏山新村垃圾站旁,,屏山新村垃圾站旁,,22.441996,114.007851,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
458,Accepted,Yuen_Long,Pin Hong Lane near oil station,,屏康里華潤油站旁,,屏康里华润油站旁,,22.440452,114.011362,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
459,Accepted,Yuen_Long,"Open Space near entrance road of Kiu Tau Wai, Ping Shan, Yuen Long",,元朗屏山橋頭圍入口附近空地,,元朗屏山桥头围入口附近空地,,22.442266,114.004744,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
460,Accepted,Yuen_Long,"Open Space in front of Village Office, San Wai Tsuen, San Tin, Yuen Long",,元朗新田新圍村村公所外面空地,,元朗新田新围村村公所外面空地,,22.472231,114.056249,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
462,Accepted,Yuen_Long,Sik Kong Tsuen Public Toilet,,鍚降村公廁側,,钖降村公厕侧,,22.450057,113.993419,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
463,Accepted,Yuen_Long,At side of Tze Tong Tsuen RCP (YL-165),,祠堂村垃圾站(YL-165)側,,祠堂村垃圾站(YL-165)侧,,22.438340,114.064840,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
470,Accepted,Yuen_Long,"Shek Po Road RCP near aqua privy, Hung Shui Kiu (YL-97)",,洪水橋石埗路垃圾收集站 (近旱廁) (YL-97),,洪水桥石埗路垃圾收集站 (近旱厕) (YL-97),,22.437639,113.994903,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
471,Accepted,Yuen_Long,"Ha Yau Tin Tsuen RCP , Yau Tin West Road, Shap Pat Heung (YL-7)",,十八鄉攸田西路下攸田村垃圾收集站 (YL-7),,十八乡攸田西路下攸田村垃圾收集站 (YL-7),,22.439027,114.037931,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
473,Accepted,Yuen_Long,"Vicinity of pavilion at side of Bus Stop K66, Wong Nai Tun Tsuen, Yuen Long",,元朗黃泥墩村 K66 巴士總站涼亭附近,,元朗黄泥墩村 K66 巴士总站凉亭附近,,22.416194,114.021895,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
474,Accepted,Yuen_Long,"RCP at Nam Bin Wai (YL-213), Yuen Long",,元朗南邊圍垃圾收集站 (YL-213),,元朗南边围垃圾收集站 (YL-213),,22.447520,114.034070,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
476,Accepted,Yuen_Long,At side of San Wai (Ha Tsuen) RCP (YL－128),,新圍 ( 廈村 ) 垃圾收集站 ( YL－128 ) 側,,新围 ( 厦村 ) 垃圾收集站 ( YL－128 ) 侧,,22.450595,113.990600,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
477,Accepted,Yuen_Long,"Yeung Hau Temple, Ping Shan",,屏山楊侯古廟,,屏山杨侯古庙,,22.446026,114.007914,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
479,Accepted,Yuen_Long,"RCP YL-94, Tong Fong Tsuen, Ping Shan",,屏山塘坊村 YL-94 垃圾收集站,,屏山塘坊村 YL-94 垃圾收集站,,22.443885,114.006697,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
485,Accepted,Yuen_Long,"RCP YL-114, Tan Kwai Yuen",,丹桂苑 YL-114 垃圾收集站,,丹桂苑 YL-114 垃圾收集站,,22.428623,113.996446,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
486,Accepted,Yuen_Long,"Outside San Sang Tsuen Public Toilet, Yuen Long",,新生村公廁(YL-117)外,,新生村公厕(YL-117)外,,22.439373,113.991597,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
488,Accepted,Yuen_Long,At side of Wong Uk Tsuen RCP (YL-11),,元朗十八鄉黃屋村垃圾收集站(YL-11)旁,,元朗十八乡黄屋村垃圾收集站(YL-11)旁,,22.446389,114.039444,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
489,Accepted,Yuen_Long,At side of Tai Tong Tsuen (roundabout) RCP (YL-8),,大棠村迴旋處垃圾收集站(YL-8)旁,,大棠村回旋处垃圾收集站(YL-8)旁,,22.418050,114.025450,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
491,Accepted,Yuen_Long,At side of Tin Lui Tsuen RCP (YL-20),,田寮村垃圾收集站(YL-20)旁,,田寮村垃圾收集站(YL-20)旁,,22.432430,114.024180,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
492,Accepted,Yuen_Long,"At side of Shui Chiu San Tsuen inside RCP (YL-38), Shap Pak Heung",,十八鄉水蕉新村內垃圾收集站(YL-38)旁,,十八乡水蕉新村内垃圾收集站(YL-38)旁,,22.425633,114.027442,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
494,Accepted,Yuen_Long,"At side of Notice Board near Tai Shui Ha Public Toilet (YL-24), Tai Shui Ha Road East",,大樹下東路大樹下公廁旁近告示板,,大树下东路大树下公厕旁近告示板,,22.429160,114.033880,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
496,Accepted,Yuen_Long,At side of Fung Chi Tsuen RCP,,鳳池村垃圾收集站旁,,凤池村垃圾收集站旁,,22.447797,114.020611,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
502,Accepted,Yuen_Long,"Kam Sheung Road RCP (YL-57), Pat Heung",,八鄉錦上路垃圾收集站(YL-57),,八乡锦上路垃圾收集站(YL-57),,22.428450,114.084400,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
504,Accepted,Yuen_Long,"Kam Sheung Road, at side of Wing Hing Wai bin site, Pat Heung",,八鄉錦上路永慶圍垃圾桶站旁,,八乡锦上路永庆围垃圾桶站旁,,22.430080,114.094120,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
505,Accepted,Yuen_Long,Tai Shu Ha Road East behind Lamp post FB0599,,大樹下東路FB0599電燈柱後面,,大树下东路FB0599电灯柱后面,,22.425650,114.037450,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
509,Accepted,Yuen_Long,"Kam Tin Hang Tau Bar RCP (YL-19) at Hang Tau Bar, Kam Tin",,錦田坑頭霸 (YL-19)，錦田坑頭霸,,锦田坑头霸 (YL-19)，锦田坑头霸,,22.423912,114.076908,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
510,Accepted,Yuen_Long,Shui Chiu Lo Wai RCP (YL-22) at Shui Chiu Lo Wai,,水蕉老圍垃圾站 (YL-22)，水蕉老圍,,水蕉老围垃圾站 (YL-22)，水蕉老围,,22.425410,114.031640,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
512,Accepted,Yuen_Long,"Nam Hang Pai RCP 2 (YL-26) at Nam Hang Pai RCP 2, outside Tai Tong Garden",,大棠花園外南坑排3站垃圾站 (YL-26)，大棠花園外南坑排3站,,大棠花园外南坑排3站垃圾站 (YL-26)，大棠花园外南坑排3站,,22.422779,114.031237,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
513,Accepted,Yuen_Long,Shui Chiu San Tsuen RCP (YL-27),,水蕉新村垃圾站 (YL-27),,水蕉新村垃圾站 (YL-27),,22.422266,114.028630,"Glass Bottles,Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
514,Accepted,Yuen_Long,Shui Tau Tsuen RCP 2 (YL-28) at Shui Tau Tsuen RCP 2,,水頭村二站垃圾站 (YL-28)，水頭村二站,,水头村二站垃圾站 (YL-28)，水头村二站,,22.445774,114.062692,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
517,Accepted,Yuen_Long,Lui Kung Tin RCP (YL-31) at Lui Kung Tin,,雷公田垃圾站 (YL-31)，雷公田,,雷公田垃圾站 (YL-31)，雷公田,,22.426925,114.104813,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
518,Accepted,Yuen_Long,"Tin Lui Tsuen RCP (YL-32) at Tin Lui Tsuen, Tai Tong Road",,大棠道田寮村垃圾站 (YL-32)，大棠道田寮村,,大棠道田寮村垃圾站 (YL-32)，大棠道田寮村,,22.431570,114.028530,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
527,Accepted,Yuen_Long,Sai Bin Wai RCP (YL-49) at Sai Bin Wai,,西邊圍垃圾站 (YL-49)，西邊圍,,西边围垃圾站 (YL-49)，西边围,,22.447335,114.031154,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
530,Accepted,Yuen_Long,"Sheung Tsuen Ku Miu RCP 1 (YL-53) at Sheung Tsuen Ku Miu RCP 1, at side of A/P 54",,上村YL-54旱厠側古廟垃圾站 (YL-53)，上村YL-54旱厠側古廟,,上村YL-54旱厕侧古庙垃圾站 (YL-53)，上村YL-54旱厕侧古庙,,22.432740,114.101050,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
531,Accepted,Yuen_Long,Ta Shek Wu RCP (YL-151) at Ta Shek Wu,,打石湖垃圾站 (YL-151)，打石湖,,打石湖垃圾站 (YL-151)，打石湖,,22.463396,114.107283,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
532,Accepted,Yuen_Long,Lo Uk Tsuen RCP (YL-59) at Lo Uk Tsuen,,羅屋村垃圾站 (YL-59)，羅屋村,,罗屋村垃圾站 (YL-59)，罗屋村,,22.439240,114.093392,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
534,Accepted,Yuen_Long,Sheung Che Tsuen RCP (YL-62) at Sheung Che Tsuen,,上輋村垃圾站 (YL-62)，上輋村,,上輋村垃圾站 (YL-62)，上輋村,,22.448580,114.096943,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
536,Accepted,Yuen_Long,"Shui Kan Shek Tsuen RCP (YL-64) at Shui Kan Shek Tsuen, Fan Kam Road",,水澗石村垃圾站 (YL-64)，水澗石村,,水涧石村垃圾站 (YL-64)，水涧石村,,22.452250,114.098470,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
540,Accepted,Yuen_Long,Wing Ning Lee (entrance) RCP (YL-68) at Wing Ning Lee (entrance),,永寧里入口垃圾站 (YL-68)，永寧里入口,,永宁里入口垃圾站 (YL-68)，永宁里入口,,22.442980,114.092740,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
541,Accepted,Yuen_Long,Srithai Feed Co. RCP (YL-69) opposite to Srithai Feed Co.,,是泰公司對面垃圾站 (YL-69)，是泰公司對面,,是泰公司对面垃圾站 (YL-69)，是泰公司对面,,22.441970,114.090480,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
542,Accepted,Yuen_Long,Ko Po Tsuen RCP (YL-70) at Ko Po Tsuen,,高埔村垃圾站 (YL-70)，高埔村,,高埔村垃圾站 (YL-70)，高埔村,,22.441432,114.056781,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
543,Accepted,Yuen_Long,Ng Ka Tsuen (inside) RCP (YL-71) at Ng Ka Tsuen (inside),,吳家村內垃圾站 (YL-71)，吳家村內,,吴家村内垃圾站 (YL-71)，吴家村内,,22.438070,114.069950,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
544,Accepted,Yuen_Long,Ng Ka Tsuen (outside) RCP (YL-72),,吳家村外垃圾站(YL-72),,吴家村外垃圾站(YL-72),,22.435380,114.070000,"Glass Bottles,Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
545,Accepted,Yuen_Long,Kam Chin Wai RCP (YL-73) at Kam Chin Wai,,金錢圍垃圾站 (YL-73)，金錢圍,,金钱围垃圾站 (YL-73)，金钱围,,22.433630,114.072920,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
546,Accepted,Yuen_Long,Yuen Kong Tsuen RCP (YL-74) at Yuen Kong Tsuen,,元崗村內站垃圾站 (YL-74)，元崗村內站,,元岗村内站垃圾站 (YL-74)，元岗村内站,,22.425115,114.077402,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
548,Accepted,Yuen_Long,Wang Chau Tung Tau Wai Refuse Collection PointWang Chau Tung Tau Wai Refuse Collection Point (YL-76),,橫洲東頭圍垃圾站 (YL-76),,横洲东头围垃圾站 (YL-76),,22.453630,114.028640,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
551,Accepted,Yuen_Long,Lin Fa Tei Tsuen RCP (YL-79) at Lin Fa Tei Tsuen,,蓮花地村垃圾站 (YL-79)，蓮花地村,,莲花地村垃圾站 (YL-79)，莲花地村,,22.429097,114.087394,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
552,Accepted,Yuen_Long,Kam Sheung Road (Opposite to the lamp post U8464),,錦上路 (燈柱U8464 對面行人路),,锦上路 (灯柱U8464 对面行人路),,22.430190,114.099080,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
555,Accepted,Yuen_Long,Pat Heung Police Station RCp (YL-85) opposite to Pat Heung Police Station,,八鄉警署對面垃圾站 (YL-85)，八鄉警署對面,,八乡警署对面垃圾站 (YL-85)，八乡警署对面,,22.440880,114.089840,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
559,Accepted,Yuen_Long,San Hing Tsuen RCP (YL-90) at San Hing Tsuen,,新慶村垃圾站 (YL-90)，新慶村,,新庆村垃圾站 (YL-90)，新庆村,,22.464410,113.986490,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
562,Accepted,Yuen_Long,Shing Uk Tsuen RCP (YL-98),,盛屋村垃圾站 (YL-98),,盛屋村垃圾站 (YL-98),,22.463970,114.019380,"Glass Bottles,Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
563,Accepted,Yuen_Long,"At side of bin site at Lo Uk Tsuen, Ping Ha Road",,屏廈路羅屋村垃圾桶站側,,屏厦路罗屋村垃圾桶站侧,,22.451719,113.994916,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
