addr_of_building_in_chn,addr_of_building_in_eng,name_of_ocomm_in_chn,name_of_ocomm_in_eng
新界元朗區青山公路 - 元朗段249-251號元朗廣場,"Yuen Long Plaza, NO.249-251, CASTLE PEAK ROAD - YUEN LONG, YUEN LONG, NEW TERRITORIES",元朗廣場業主委員會,YUEN LONG PLAZA OWNERS' COMMITTEE
新界元朗區天瑞路8號嘉湖山莊翠湖居第一座,"BLOCK 1, BLOCK 1, NO.8, TIN SHUI ROAD, CHESTWOOD COURT, KINGSWOOD VILLAS, YUEN LONG, NEW TERRITORIES",嘉湖山莊翠湖居業主委員會,CHESTWOOD COURT ESTATE OWNERS' COMMITTEE
新界元朗區天龍路2號嘉湖山莊景湖居第一座,"BLOCK 1, BLOCK 1, NO.2, TIN LUNG ROAD, KENSWOOD COURT,KINGSWOOD VILLAS, YUEN LONG, NEW TERRITORIES",嘉湖山莊景湖居業主委員會,KENSWOOD COURT ESTATE OWNERS' COMMITTEE
新界元朗區天湖路1號嘉湖山莊樂湖居第一座,"BLOCK 1, BLOCK 1, NO.1, TIN WU ROAD, LOCWOOD COURT, KINGSWOOD VILLAS, YUEN LONG, NEW TERRITORIES",嘉湖山莊樂湖居業主委員會,LOCWOOD COURT ESTATE OWNER'S COMMITTEE
新界元朗區天葵路3號嘉湖山莊麗湖居第一座,"BLOCK 1, BLOCK 1, NO.3, TIN KWAI ROAD, LYNWOOD COURT, KINGSWOOD VILLAS, YUEN LONG, NEW TERRITORIES",嘉湖山莊麗湖居業主委員會,LYNWOOD COURT ESTATE OWNERS' COMMITTEE
新界元朗區天龍路9號嘉湖山莊美湖居第一座,"BLOCK 1, BLOCK 1, NO.9, TIN LUNG ROAD, MAYWOOD COURT, KINGSWOOD VILLAS, YUEN LONG, NEW TERRITORIES",嘉湖山莊美湖居業主委員會,MAYWOOD COURT ESTATE OWNERS' COMMITTEE
新界元朗區天湖路3號嘉湖山莊賞湖居第一座,"BLOCK 1, BLOCK 1, NO.3, TIN WU ROAD, SHERWOOD COURT, KINGSWOOD VILLAS, YUEN LONG, NEW TERRITORIES",嘉湖山莊賞湖居業主委員會,SHERWOOD COURT ESTATE OWNERS' COMMITTEE
香港島東區愛禮街2號愛蝶灣第一座,"Aldrich Garden Block 1, NO.2, OI LAI STREET, ALDRICH GARDEN, EASTERN, HONG KONG",愛蝶灣業主委員會,ALDRICH GARDEN OWNERS' COMMITTEE
香港東區英皇道1110號康山花園第1座,"BLOCK 1, KORNHILL GARDEN, NO.1110, KING'S ROAD, EASTERN, HONG KONG",康山花園業主委員會,KORNHILL GARDEN OWNERS' COMMITTEE
香港東區寶文街1號峻峰花園A座,"BLOCK A, PERFECT MOUNT GARDENS, NO.1, PO MAN STREET, EASTERN, HONG KONG",峻峯花園業主委員會,PERFECT MOUNT GARDENS OWNERS' COMMITTEE
香港島東區太古灣道24號太古城翠榕閣,"Banyan Mansion, NO.24, TAIKOO WAN ROAD, TAIKOO SHING, EASTERN, HONG KONG",太古城物業管理聯絡議會(業主委員會),TAIKOO SHING MANAGEMENT LIAISION COUNCIL (OWNERS' COMMITTEE)
香港島東區西灣臺18號逸意居第一座,"BLOCK 1, BLOCK 1, NO.18, SAI WAN TERRACE, THE FLORIDIAN, EASTERN, HONG KONG",逸意居業主委員會,THE FLORIDIAN OWNERS' COMMITTEE
香港東區英皇道238號康澤花園A座,"TOWER A, FORTRESS METRO TOWER, NO.238, KING'S ROAD, EASTERN, HONG KONG",康澤花園業主委員會,FORTRESS METRO TOWER OWNERS' COMMITTEE
香港島東區炮台山道28號豪廷峰第一座,"BLOCK 1, BLOCK 1, NO.28, FORTRESS HILL ROAD, LE  SOMMET, EASTERN, HONG KONG",豪廷峰業主委員會,LE SOMMET OWNERS' COMMITTEE
香港島東區寶馬山道1號寶馬山花園第一座,"BLOCK 1, BLOCK 1, NO.1, BRAEMAR HILL ROAD, PACIFIC PALISADES, EASTERN, HONG KONG",寶馬山花園業主委員會,PACIFIC PALISADES OWNERS' COMMITTEE
香港島東區丹拿道51-61號港運城一座,"One Island Place, NO.51-61, TANNER ROAD, ISLAND PLACE, EASTERN, HONG KONG",港運城業主委員會,ISLAND PLACE OWNERS' COMMITTEE
香港島東區柴灣道233號新翠花園第1座,"BLOCK 1, BLOCK 1, NO.233, CHAI WAN ROAD, NEW JADE GARDEN, EASTERN, HONG KONG",新翠花園業主委員會,NEW JADE GARDEN OWNERS' COMMITTEE
香港島東區柴灣道350號樂軒臺第1座,"BLOCK 1, BLOCK 1, NO.350, CHAI WAN ROAD, LOK HIN TERRACE, EASTERN, HONG KONG",樂軒臺業主委員會,LOK HIN TERRACE OWNERS' COMMITTEE
香港島東區柴灣道111號高威閣第1座,"BLOCK 1, BLOCK 1, NO.111, CHAI WAN ROAD, KOWAY COURT, EASTERN, HONG KONG",高威閣業主委員會,KOWAY COURT OWNERS' COMMITTEE
香港島東區盛泰道100號杏花邨第1座,"BLOCK 1, BLOCK 1, NO.100, SHING TAI ROAD, HENG FA CHUEN, EASTERN, HONG KONG",杏花邨業主委員會,HENG FA CHUEN OWNERS' COMMITTEE
香港島東區福蔭道5號海峰園高峰閣,"KO FUNG COURT, NO.5, FOOK YUM ROAD, HARBOUR HEIGHTS, EASTERN, HONG KONG",海峰園業主委員會,HARBOUR HEIGHTS OWNERS' COMMITTEE
新界沙田區駿景路1號駿景園第1座,"BLOCK 1, ROYAL ASCOT, NO.1, TSUN KING ROAD, SHA TIN, NEW TERRITORIES",駿景園業主委員會,ROYAL ASCOT OWNERS' COMMITTEE
新界沙田區樂景街11號榕翠園,"FICUS GARDEN, NO.11, LOK KING STREET, SHA TIN, NEW TERRITORIES",榕翠園業主委員會,FICUS GARDEN OWNERS' COMMITTEE
新界沙田區鞍駿街1號馬鞍山中心第一座,"BLOCK 1, BLOCK 1, NO.1, ON CHUN STREET, MA ON SHAN CENTRE, SHA TIN, NEW TERRITORIES",馬鞍山中心(住宅)業主委員會,OWNERS' COMMITTEE (RESIDENTIAL) OF MA ON SHAN CENTRE
新界沙田區鞍駿街15號雅濤居1座,"TOWER 1, THE WATERSIDE, NO.15, ON CHUN STREET, SHA TIN, NEW TERRITORIES",雅濤居業主委員會,THE WATERSIDE OWNERS' COMMITTEE
新界沙田區鞍誠街8號新港城三期N 座,"BLOCK N, PHASE III, BLOCK N, NO.8, ON SHING STREET, SUNSHINE CITY PHASE III, SHA TIN, NEW TERRITORIES",新港城三期業主委員會,SUNSHINE CITY PHASE III OWNERS' COMMITTEE
新界沙田區鞍誠街18號新港城一期A 座,"BLOCK A, PHASE I, BLOCK A, NO.18, ON SHING STREET, SUNSHINE CITY PHASE I, SHA TIN, NEW TERRITORIES",新港城一期業主委員會,SUNSHINE CITY PHASE I OWNERS' COMMITTEE
新界沙田區鞍祿街18號新港城四期中心,"PHASE IV, SUNSHINE CITY PLAZA (PHASE IV), NO.18, ON LUK STREET, SUNSHINE CITY PHASE IV, SHA TIN, NEW TERRITORIES",新港城四期業主委員會,SUNSHINE CITY PHASE IV OWNERS' COMMITTEE
新界沙田區西沙路600號雅典居第一座,"BLOCK 1, BLOCK 1, NO.600, SAI SHA ROAD, VILLA ATHENA, SHA TIN, NEW TERRITORIES",雅典居業主委員會,VILLA ATHENA OWNERS' COMMITTEE
新界沙田區西沙路608號海栢花園馬鞍山廣場,"MA ON SHAN PLAZA, NO.608, SAI SHA ROAD, BAYSHORE TOWERS, SHA TIN, NEW TERRITORIES",海栢花園業主委員會,BAYSHORE TOWERS OWNERS' COMMITTEE
新界沙田區西沙路628號海濤居第一座,"BLOCK 1, BLOCK 1, NO.628, SAI SHA ROAD, TOLO PLACE, SHA TIN, NEW TERRITORIES",海濤居業主委員會,TOLO PLACE OWNERS' COMMITTEE
新界沙田區沙田正街2-8號新城市廣場(第三期)海桐閣 (第1座),"PHASE III, PITTOSPORUM COURT (BLOCK 1), NO.2-8, SHA TIN CENTRE STREET, NEW TOWN PLAZA (PHASE III), SHA TIN, NEW TERRITORIES",新城市廣場(第三期)業主委員會,NEW TOWN PLAZA (PHASE III) OWNER'S COMMITTEE
新界沙田區沙田正街21-27號沙田廣場金星閣 (A座),"RICHMOND TOWER (BLOCK A), NO.21-27, SHA TIN CENTRE STREET, SHA TIN PLAZA, SHA TIN, NEW TERRITORIES",沙田廣場業主委員會,SHA TIN PLAZA OWNERS' COMMITTEE
新界沙田區橫壆街2-16號沙田中心海寧大廈,"HOI NING BUILDING, NO.2-16, WANG POK STREET, SHATIN CENTRE, SHA TIN, NEW TERRITORIES",沙田中心業主委員會,SHATIN CENTRE OWNERS' COMMITTEE
新界沙田區得基街2號沙田第一城第一座,"City One Shatin Block 1, NO.2, TAK KEI STREET, CITY ONE SHATIN, SHA TIN, NEW TERRITORIES",沙田第一城業主委員會,"CITY ONE, SHATIN OWNERS' COMMITTEE"
新界沙田區小瀝源路69號帝堡城第一座,"Castello Block 1, NO.69, SIU LEK YUEN ROAD, CASTELLO, SHA TIN, NEW TERRITORIES",帝堡城業主委員會,CASTELLO OWNERS' COMMITTEE
新界沙田區源順圍28號都會廣場,"CITIMARK, NO.28, YUEN SHUN CIRCUIT, SHA TIN, NEW TERRITORIES",都會廣場業主委員會,CITIMARK OWNERS' COMMITTEE
新界沙田區碧田街18號翠景花園A 座,"BLOCK 1, BLOCK 1, NO.18, PIK TIN STREET, PARK VIEW GARDEN, SHA TIN, NEW TERRITORIES",翠景花園業主委員會,PARK VIEW GARDEN OWNERS' COMMITTEE
九龍油尖旺區奶路臣街12-26號啟賢大廈,"Kai Yin Mansion, NO.12-26, NELSON STREET, YAU TSIM MONG, KOWLOON",啟賢大廈業主委員會,KAI YIN MANSION OWNERS' COMMITTEE
九龍油尖旺區赫德道8號,"NO.8, HART AVENUE, YAU TSIM MONG, KOWLOON",赫德道8號業主委員會,8 HART AVENUE OWNERS' COMMITTEE
九龍油尖旺區金巴利道74-76號奇盛中心,"Kee Shing Centre, NO.74-76, KIMBERLEY ROAD, YAU TSIM MONG, KOWLOON",奇盛中心業主委員會,KIM SHING CENTRE QPL-KSIP HOLDINGS CENTRE OWNERS' COMMITTEE
九龍觀塘區興業街12號永泰中心,"Wing Tai Centre, NO.12, HING YIP STREET, KWUN TONG, KOWLOON",永泰中心業主委員會,WING TAI CENTRE OWNERS' COMMITTEE
九龍觀塘區功樂道9號富麗花園紫荊閣,"Bauhinia Court, NO.9, KUNG LOK ROAD, FULRICH GARDEN, KWUN TONG, KOWLOON",富麗花園業主委員會,FULRICH GARDEN OWNERS' COMMITTEE
香港島中西區寶珊道14-16號寶城大廈A座,"BLOCK A, BLOCK A, NO.14-16, PO SHAN ROAD, PO SHAN MANSION, CENTRAL AND WESTERN, HONG KONG",寶城大廈業主委員會,PO SHAN MANSION OWNERS' COMMITTEE
香港島中西區羅便臣道70號雍景臺第一座,"TOWER 1, TOWER 1, NO.70, ROBINSON ROAD, ROBINSON PLACE, CENTRAL AND WESTERN, HONG KONG",雍景臺業主委員會,ROBINSON PLACE OWNERS' COMMITTEE
新界葵青區梨木道79號亞洲貿易中心,"ASIA TRADE CENTRE, NO.79, LEI MUK ROAD, KWAI TSING, NEW TERRITORIES",亞洲貿易中心業主委員會,ASIA TRADE CENTRE OWNERS' COMMITTEE
新界葵青區青山公路 - 葵涌段382號嘉翠園1座,"BLOCK 1, GREENKNOLL COURT, NO.382, CASTLE PEAK ROAD - KWAI CHUNG, KWAI TSING, NEW TERRITORIES",嘉翠園業主委員會,GREEN KNOLL COURT OWNERS' COMMITTEE
新界葵青區荔崗街11號浩景臺商場,"SHOPPING CENTRE, NO.11, LAI KONG STREET, HIGHLAND PARK, KWAI TSING, NEW TERRITORIES",浩景臺業主委員會,HIGHLAND PARK OWNERS' COMMITTEE
新界葵青區興芳路223號新都會廣場第2座,"TOWER 2, METROPLAZA, NO.223, HING FONG ROAD, KWAI TSING, NEW TERRITORIES",新都會廣場業主委員會,METRO PLAZA OWNERS' COMMITTEE
新界葵青區貨櫃碼頭路88號永得利廣場第2座,"TOWER 2, EVER GAIN PLAZA, NO.88, CONTAINER PORT ROAD, KWAI TSING, NEW TERRITORIES",永得利廣場業主委員會,EVER GAIN PLAZA OWNERS' COMMITTEE
新界葵青區葵豐街53-57號褔業大廈,"FOOK YIP BUILDING, NO.53-57, KWAI FUNG CRESCENT, KWAI TSING, NEW TERRITORIES",福業大廈業主委員會,FOOK YIP BUILDING OWNERS' COMMITTEE
新界葵青區華景山路9號華景山莊第一座,"Wonderland Villas Block 1, NO.9, WAH KING HILL ROAD, WONDERLAND VILLAS, KWAI TSING, NEW TERRITORIES",華景山莊業主委員會,WONDERLAND VILLAS ESTATE OWNERS' COMMITTEE
新界葵青區荔景山路274號華豐園,"WAH FUNG GARDEN, NO.274, LAI KING HILL ROAD, KWAI TSING, NEW TERRITORIES",華豐園業主委員會,WAH FUNG GARDEN OWNERS' COMMITTEE
新界葵青區大窩口道161號新葵興花園A座,"BLOCK A, SUN KWAI HING GARDENS, NO.161, TAI WO HAU ROAD, KWAI TSING, NEW TERRITORIES",新葵興花園業主委員會,SUN KWAI HING GARDEN OWNERS' COMMITTEE
新界葵青區青綠街1號偉景花園第一座,"BLOCK 1, BLOCK 1, NO.1, TSING LUK STREET, BROADVIEW GARDEN, KWAI TSING, NEW TERRITORIES",偉景花園業主委員會,BROADVIEW GARDEN OWNERS' COMMITTEE
新界葵青區長環街11號海欣花園第一座,"Grand Horizon Block 1, NO.11, CHEUNG WAN STREET, GRAND HORIZON, KWAI TSING, NEW TERRITORIES",海欣花園業主委員會,GRAND HORIZON OWNERS' COMMITTEE
新界葵青區寮肚路3號曉峰園第6座,"BLOCK 6, MOUNT HAVEN, NO.3, LIU TO ROAD, KWAI TSING, NEW TERRITORIES",曉峰園業主委員會,MOUNT HAVEN OWNERS' COMMITTEE
新界屯門區石排頭徑1號卓爾居第1座,"BLOCK 1, CHELSEA HEIGHTS, NO.1, SHEK PAI TAU PATH, TUEN MUN, NEW TERRITORIES",卓爾居業主委員會,CHELSEA HEIGHTS OWNERS' COMMITTEE
新界屯門區屯興路9號怡峰園第1座,"BLOCK 1, VILLA TIARA, NO.9, TUEN HING ROAD, TUEN MUN, NEW TERRITORIES",怡峰園業主委員會,VILLA TIARA OWNERS' COMMITTEE
新界屯門區湖翠路2號美樂花園一座,"Melody Garden Block 1, NO.2, WU CHUI ROAD, MELODY GARDEN, TUEN MUN, NEW TERRITORIES",美樂花園業主委員會,MELODY GARDEN OWNERS' COMMITTEE
新界屯門區小欖村路2號浪琴軒第1座,"BLOCK 1, Block 1, NO.2, SIU LAM TSUEN ROAD, GRAND PACIFIC VIEWS, TUEN MUN, NEW TERRITORIES",浪/海琴軒業主委員會,GRAND PACIFIC VIEWS/HEIGHTS OWNERS' COMMITTEE
新界屯門區青山公路青山灣段128號翠峰小築1座,"BLOCK 1, VERDANT VILLA, NO.128, CASTLE PEAK ROAD CASTLE PEAK BAY, TUEN MUN, NEW TERRITORIES",翠峰小築業主委員會,VERDANT VILLA OWNERS' COMMITTEE
新界屯門區屯隆街1號錦華花園A座,"BLOCK A, KAM WAH GARDEN, NO.1, TUEN LUNG STREET, TUEN MUN, NEW TERRITORIES",錦華花園業主委員會,OWNERS' COMMITTEE OF KAM WAH GARDEN OWNERS' COMMITTEE
新界屯門區湖翠路268號邁亞美海灣第一座,"Miami Beach Towers Tower 1, NO.268, WU CHUI ROAD, MIAMI BEACH TOWERS, TUEN MUN, NEW TERRITORIES",邁亞美海灣第一期業主委員會,MIAMI BEACH TOWERS PHASE I OWNERS' COMMITTEE
新界屯門區湖翠路268號邁亞美海灣第四座,"Miami Beach Towers Tower 4, NO.268, WU CHUI ROAD, MIAMI BEACH TOWERS, TUEN MUN, NEW TERRITORIES",邁亞美海灣第二期業主委員會,MIAMI BEACH TOWERS PHASE II OWNERS' COMMITTEE
新界屯門區良德街11號寶怡花園第一座,"Blossom Garden Block 1, NO.11, LEUNG TAK STREET, BLOSSOM GARDEN, TUEN MUN, NEW TERRITORIES",寶怡花園業主委員會,BLOSSOM GARDEN OWNERS' COMMITTEE
新界屯門區青山公路169-181號錦興大廈,"Kam Hing Building, NO.169-181, CASTLE PEAK ROAD, TUEN MUN, NEW TERRITORIES",錦興大廈業主委員會,KAM HING BUILDING OWNERS' COMMITTEE
香港島東區柴灣道111號高威閣東港城,"EASTERN PLAZA, NO.111, CHAI WAN ROAD, KOWAY COURT, EASTERN, HONG KONG",東港城業主委員會,EASTERN PLAZA OWNERS' COMMITTEE
九龍九龍城區崇安街18號半島廣場,"PENINSULA SQUARE, NO.18, SUNG ON STREET, KOWLOON CITY, KOWLOON",半島廣場業主委員會,PENINSULA SQUARE OWNERS' COMMITTEE
九龍九龍城區海逸道8號海逸豪園第1期海逸豪園第1座,"LAGUNA VERDE BLOCK 1, NO.8, LAGUNA AVENUE, LAGUNA VERDE, KOWLOON CITY, KOWLOON",海逸豪園業主委員會,LAGUNA VERDE OWNERS' COMMITTEE
九龍九龍城區船景街9號黃埔花園第 2期 (錦桃苑)1 座,"BLOCK 1, BLOCK 1, NO.9, SHUNG KING STREET, SITE 2 (CHERRY MANSIONS)WHAMPOA GARDEN, KOWLOON CITY, KOWLOON",黃埔花園第二期業主委員會,SITE 2 WHAMPOA GARDEN OWNERS' COMMITTEE
九龍九龍城區船景街7號黃埔花園第 4期 (棕櫚苑)1 座,"BLOCK 1, BLOCK 1, NO.7, SHUNG KING STREET, SITE 4 (PALM MANSIONS) WHAMPOA GARDEN, KOWLOON CITY, KOWLOON",黃埔花園第四期業主委員會,SITE 4 WHAMPOA GARDEN OWNERS' COMMITTEE
九龍九龍城區德豐街8號黃埔花園第9期(百合苑)1 座,"BLOCK 1, BLOCK 1, NO.8, TAK FUNG STREET, SITE 9 (LILY MANSION) WHAMPOA GARDEN, KOWLOON CITY, KOWLOON",黃埔花園第九期業主委員會,SITE 9 WHAMPOA GARDEN OWNERS' COMMITTEE
九龍九龍城區環海街8號黃埔花園第10期(綠榕苑)1 座,"BLOCK 1, BLOCK 1, NO.8, WAN HOI STREET, SITE 10 (BANYAN MANSION) WHAMPOA GARDEN, KOWLOON CITY, KOWLOON",黃埔花園第十期業主委員會,SITE 10 WHAMPOA GARDEN OWNERS' COMMITTEE
九龍九龍城區必嘉街121號黃埔花園第1期 (金柏苑)5座,"BLOCK 5, BLOCK 5, NO.121, BAKER STREET, SITE 1 (JUNIPER MANSIONS)WHAMPOA GARDEN, KOWLOON CITY, KOWLOON",黃埔花園第一期業主委員會,SITE 1 WHAMPOA GARDEN OWNERS' COMMITTEE
九龍九龍城區德康街3號黃埔花園第12期(銀竹苑)第1座,"BLOCK 1, BLOCK 1, NO.3, TAK HONG STREET, SITE 12 (BAMBOO MANSION) WHAMPOA GARDEN, KOWLOON CITY, KOWLOON",黃埔花園第十二期業主委員會,SITE 12 WHAMPOA GARDEN OWNERS' COMMITTEE
九龍九龍城區德康街6號黃埔花園第11期(紫荊苑)1 座,"BLOCK 1, BLOCK 1, NO.6, TAK HONG STREET, SITE 11 (BAUHINIA MANSION ) WHAMPOA GARDEN, KOWLOON CITY, KOWLOON",黃埔花園第十一期業主委員會,SITE 11 WHAMPOA GARDEN OWNERS' COMMITTEE
香港南區淺水灣道93號寶晶苑H1座,"BLOCK H1, BELLEVIEW PLACE, NO.93, REPULSE BAY ROAD, SOUTHERN, HONG KONG",寶晶苑業主委員會,BELLEVIEW PLACE OWNERS' COMMITTEE
香港島南區業興街11號南滙廣場,"Southmark, NO.11, YIP HING STREET, SOUTHMARK, SOUTHERN, HONG KONG",南匯廣場業主委員會,SOUTHMARK OWNERS' COMMITTEE
香港島南區怡南路29號御庭園豐景閣,"Fung King Court, NO.29, YI NAM ROAD, THE OASIS, SOUTHERN, HONG KONG",海怡半島業主委員會,SOUTH HORIZONS OWNERS' COMMITTEE
香港島東區基利路2號栢蕙苑祥栢閣,"Cheung Pak Mansion, NO.2, GREIG ROAD, PARKVALE, EASTERN, HONG KONG",栢蕙苑業主委員會,PARKVALE OWNERS' COMMITTEE
香港東區康盛街25-27號康怡花園B座,"BLOCK B, KORNHILL, NO.25-27, HONG SHING STREET, EASTERN, HONG KONG",康怡花園業主委員會,KORNHILL GARDEN OWNERS' COMMITTEE
新界荃灣區蕙荃路22-66號綠楊新邨A座,"BLOCK A, LUK YEUNG SUN CHUEN, NO.22-66, WAI TSUEN ROAD, TSUEN WAN, NEW TERRITORIES",綠楊新邨業主委員會,LUK YEUNG SUN CHUEN OWNERS' COMMITTEE
香港島東區太康街53號鯉景灣觀暉閣,"Kwun Fai Mansion, NO.53, TAI HONG STREET, LEI KING WAN, EASTERN, HONG KONG",鯉景灣業主委員會,LEI KING WAN OWNERS' COMMITTEE
新界北區和滿街8號帝庭軒第一座,"BLOCK 1, BLOCK 1, NO.8, WO MUN STREET, REGENTVILLE, NORTH, NEW TERRITORIES",帝庭軒業主委員會,REGENTVILLE OWNERS' COMMITTEE
九龍九龍城區界限街167-169號翰林苑,"UNIVERSITY COURT, NO.167-169, BOUNDARY STREET, KOWLOON CITY, KOWLOON",翰林苑業主委員會,UNIVERSITY COURT OWNERS' COMMITTEE
九龍九龍城區露明道12-14號嘉樂閣,"CROWFIELDS COURT, NO.12-14, LOMOND ROAD, KOWLOON CITY, KOWLOON",嘉樂閣業主委員會,CROWFIELDS COURT OWNERS' COMMITTEE
新界元朗區鳳凰徑加州花園1號,"HOUSE 1, PHOENIX PATH, PALM SPRINGS, YUEN LONG, NEW TERRITORIES",加州花園俊仕居業主委員會,"THE VILLAGE OWNERS' COMMITTEE OF VENTURA, PALM SPRINGS"
新界元朗區白楊徑加州花園1號,"HOUSE 1, BIRCH PATH, PALM SPRINGS, YUEN LONG, NEW TERRITORIES",加州花園名仕居業主委員會,"THE VILLAGE OWNERS' COMMITTEE OF PALOMA, PALM SPRINGS"
新界元朗區茶花徑加州花園1號,"HOUSE 1, CAMELIA PATH, PALM SPRINGS, YUEN LONG, NEW TERRITORIES",加州花園偉仕居業主委員會,"THE VILLAGE OWNERS' COMMITTEE OF WESTWOOD, PALM SPRINGS"
新界元朗區青榕徑加州花園1號,"HOUSE 1, BANYAN PATH, PALM SPRINGS, YUEN LONG, NEW TERRITORIES",加州花園雅仕居業主委員會,"THE VILLAGE OWNERS' COMMITTEE OF ARCADIA, PALM SPRINGS"
新界元朗區溫黛娜徑加州豪園1號,"HOUSE 1, VENTURA AVENUE, ROYAL PALMS, YUEN LONG, NEW TERRITORIES",加州豪園業主委員會,THE OWNERS' COMMITTEE OF ROYAL PALMS
新界元朗區竹桃徑加州花園1號,"HOUSE 1, OLEANDER PATH, PALM SPRINGS, YUEN LONG, NEW TERRITORIES",加州花園業主委員會,THE ESTATE OWNERS' COMMITTEE OF PALM SPRINGS
新界屯門區樂翠街3號栢濤居B座,"BLOCK B, KINGS PARK VILLA, NO.3, LOK CHUI STREET, TUEN MUN, NEW TERRITORIES",柏濤居業主委員會,KINGS PARK VILLA OWNERS' COMMITTEE
香港島東區小西灣道28號藍灣半島第一座,"BLOCK 1, BLOCK 1, NO.28, SIU SAI WAN ROAD, ISLAND RESORT, EASTERN, HONG KONG",藍灣半島業主委員會,ISLAND RESORT OWNERS' COMMITTEE
九龍九龍城區紅荔道8號半島豪庭第1座,"ROYAL PENINSULA BLOCK 1, NO.8, HUNG LAI ROAD, ROYAL PENINSULA, KOWLOON CITY, KOWLOON",半島豪庭業主委員會,ROYAL PENINSULA OWNERS' COMMITTEE
"新界離島區朝暉徑1號愉景灣,蔚陽","NO.1, HEADLAND DRIVE, DISCOVERY BAY, HEADLAND VILLAGE, ISLANDS, NEW TERRITORIES",蔚陽村業主委員會,HEADLAND VILLAGE OWNERS' COMMITTEE
新界離島區海馬徑1號碧濤第1座,"BLOCK 1, BEACH VILLAGE, NO.1, SEAHORSE LANE, ISLANDS, NEW TERRITORIES",碧濤村業主委員會,BEACH VILLAGE OWNERS' COMMITTEE
九龍深水埗區延坪道8號帝景峰帝景居1座,"SKYLODGE 1, DYNASTY HEIGHTS, NO.8, YIN PING ROAD, SHAM SHUI PO, KOWLOON",帝景峰業主委員會,DYNASTY HEIGHTS OWNERS' COMMITTEE
香港南區紅山道88號玫瑰園第1座,"BLOCK 1, VILLA ROSA, NO.88, RED HILL ROAD, SOUTHERN, HONG KONG",玫瑰園業主委員會,VILLA ROSA OWNERS' COMMITTEE
九龍深水埗區大埔道369號爾登華庭第一座,"Villa Carlton Block 1, NO.369, TAI PO ROAD, VILLA CARLTON, SHAM SHUI PO, KOWLOON",爾登華庭業主委員會,VILLA CARLTON OWNERS' COMMITTEE
新界荃灣區永順街38號海灣花園1座,"BLOCK 1, WATERSIDE PLAZA, NO.38, WING SHUN STREET, TSUEN WAN, NEW TERRITORIES",海灣花園業主委員會,WATERSIDE PLAZA OWNERS' COMMITTEE
九龍深水埗區順寧道439-443號順寧居,"Shining Court, NO.439-443, SHUN NING ROAD, SHAM SHUI PO, KOWLOON",順寧居業主委員會,SHINING COURT OWNERS' COMMITTEE
九龍油尖旺區柯士甸道西1號漾日居第七座,"Tower 7, NO.1, AUSTIN ROAD WEST, THE WATERFRONT, YAU TSIM MONG, KOWLOON",漾日居業主委員會,THE WATERFRONT RESIDENTIAL OWNERS' COMMITTEE
新界元朗區大棠路99號蝶翠峰第一座,"BLOCK 1, NO.99, TAI TONG ROAD, SERENO VERDE, YUEN LONG, NEW TERRITORIES",蝶翠峰業主委員會,SERENO VERDE OWNERS' COMMITTEE
九龍深水埗區青山道421號富華廣場,"FLORENCE PLAZA, NO.421, CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON",富華廣場業主委員會,FLORENCE PLAZA OWNERS' COMMITTEE
九龍深水埗區長裕街12號經達廣場,"Comweb Plaza, NO.12, CHEUNG YUE STREET, SHAM SHUI PO, KOWLOON",經達廣場業主委員會,COMWEB PLAZA OWNERS' COMMITTEE
香港島東區太安街28號逸濤灣春瑤軒(第1座),"LE PRINTEMPS (TOWER 1), NO.28, TAI ON STREET, LES SAISONS, EASTERN, HONG KONG",逸濤灣業主委員會,LES SAISONS OWNERS' COMMITTEE
香港南區大潭水塘道88號陽明山莊陽明居第1座,"BLOCK 1, PARKVIEW SUITES, HONG KONG PARKVIEW, NO.88, TAI TAM RESERVOIR ROAD, SOUTHERN, HONG KONG",陽明山莊業主委員會,HONG KONG PARKVIEW OWNERS' COMMITTEE
香港島南區南灣道59號南灣大廈,"South Bay Towers, NO.59, SOUTH BAY ROAD, SOUTHERN, HONG KONG",南灣大廈業主委員會,SOUTHBAY TOWERS OWNERS' COMMITTEE
新界沙田區翠欣街8號欣廷軒第一座,"Prima Villa Block 1, NO.8, CHUI YAN STREET, PRIMA VILLA, SHA TIN, NEW TERRITORIES",欣廷軒業主委員會,PRIMA VILLA OWNERS' COMMITTEE
新界沙田區牛皮沙街6號愉翠苑愉歡閣,"Yu Fun House, NO.6, NGAU PEI SHA STREET, YU CHUI COURT, SHA TIN, NEW TERRITORIES",愉翠苑業主委員會,YU CHUI COURT OWNERS' COMMITTEE
九龍觀塘區開源道50號利寶時中心,"LEMMI CENTRE, NO.50, HOI YUEN ROAD, KWUN TONG, KOWLOON",利寶時中心業主委員會,LEMMI CENTRE OWNERS' COMMITTEE
香港島灣仔區樂活道2B號禮頓山第一座,"The Leighton Hill Tower 1, NO.2B, BROADWOOD ROAD, THE LEIGHTON HILL, WAN CHAI, HONG KONG",禮頓山業主委員會,THE LEIGHTON HILL OWNERS' COMMITTEE
新界葵青區青敬路33號盈翠半島第1座,"TOWER 1, TOWER 1, NO.33, TSING KING ROAD, TIERRA VERDE, KWAI TSING, NEW TERRITORIES",盈翠半島業主委員會,TIERRA VERDE OWNERS' COMMITTEE
