estate_name,district_name,region_name,lat,lng,sold_under,year_of_completion,year_of_completion_raw,type_of_block,no_of_blocks,no_of_flats,name_of_block,gross_floor_area_of_flt,saleable_area_of_flats,initial_sale_price,owners_corporation,reg_management_office,property_management,carpark_management,court_website,further_information
Mei Chung Court,Sha Tin,New Territories,22.38105,114.17275,16B,1996,1996,NCB,6,1940,Fu Chung House Lai Chung House Hing Chung House Shing Chung House Hong Chung House Lok Chung House,48 - 77,37 - 59,718300 - 1484800,Formed,Tai Po North & Shatin District Tenancy Management Office (2) Market Podium Pok Hong Estate Shatin Telephone : 2648 1312 Fax : 2649 1648,Hong Yip Service Co. Ltd. G/F Blk A Fu Chung House Mei Chung Court Sha Tin Telephone: 2603 0831 Fax: 2603 0121 Web site: http://www.hongyip.com.hk,Owned and operated by private corporation,,
Carado Garden,Sha Tin,New Territories,22.3686,114.17583,11A,1990,1990,Private Sector Participation Scheme,6,1988,Block 1 - Block 6,43 - 59,40 - 55,293200 - 524100,Formed,Tai Po North & Shatin District Tenancy Management Office (2) Market Podium Pok Hong Estate Shatin Telephone : 2648 1312 Fax : 2649 1648,Appointed by Owners' Corporation,,,
Grandway Garden,Sha Tin,New Territories,22.37345,114.17805,10B,1989,1989,Private Sector Participation Scheme,3,864,Block 1 - Block 3,44 - 61,39 - 54,294800 - 513000,Formed,Tai Po North & Shatin District Tenancy Management Office (2) Market Podium Pok Hong Estate Shatin Telephone : 2648 1312 Fax : 2649 1648,Appointed by Owners' Corporation,,,
Yee Ching Court,Sham Shui Po,Kowloon,22.33214,114.15979,13C,1993,1993,Harmony,3,672,Han Ching House Ning Ching House Yat Ching House,55 - 82,39 - 59,568700 - 1038400,Formed,Kowloon West and Sai Kung District Tenancy Management Office (3) G/F Lai Ping House Lai On Estate Sham Shui Po Telephone: 2725 5750 Fax: 2708 3870,Appointed by Owners' Corporation,,,
Po Hei Court,Sham Shui Po,Kowloon,22.33728,114.15941,14B,1993,1993,Non-Standard,2,390,Fu Hei House Wing Hei House,52 - 72,41 - 58,828900 - 1333700,Formed,Kowlooon West and Sai Kung District Tenancy Management Office (11) G/F. Lai Mei House Lai Kok Estate Sham Shui Po Telephone: 2361 0070 Fax: 2148 2463,Appointed by Owners' Corporation,,,
Po Lai Court,Sham Shui Po,Kowloon,22.33816,114.15819,8B,1987,1987,Non-Standard,3,378,Po Fook House Po Chak House Po Hong House,49 - 58,38 - 45,256500 - 353300,Formed,Kowloon West and Sai Kung District Tenancy Management Office (11) G/F Lai Mei House Lai Kok Estate Sham Shui Po Telephone: 2361 0070 Fax: 2148 2463,Appointed by Owners' Corporation,,,
Yee Kok Court,Sham Shui Po,Kowloon,22.33325,114.1578,3A 5A,1981,1981,Old-Cruciform,7,694,Yee Lok House Yee Mei House Yee Kin House Yee Tai House Yee Hong House Yee Yan House Yee Sau House,61 - 63,49 - 49,279900 - 375900,Formed,Kowloon West and Sai Kung District Tenancy Management Office (3) G/F Lai Ping House Lai On Estate Sham Shui Po Telephone: 2725 5750 Fax: 2708 3870,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Hoi Fu Court,Yau Tsim Mong,Kowloon,22.3164,114.16434,Buy-or-Rent Option,2000,2000,Harmony,1,629,Hoi Ning Court,26 - 81,19 - 59,402300 - 1702500,Formed,Kowlooon West and Sai Kung District Tenancy Management Office (11) G/F Hoi Tai House Hoi Fu Court Mongkok Telephone: 2625 4370 Fax: 2625 5071,Creative Property Services Consultants Ltd. G/F Hoi Lam House Hoi Fu Court Mong Kok Telephone: 2625 4640 Fax: 2625 4397,Owned and operated by private corporation,,
Chung Ming Court,Sai Kung,New Territories,22.31825,114.26276,13C 14A,1993,1993,NCB,5,1750,Kar Ming House Fai Ming House Yin Ming House Tsui Ming House Koon Ming House,47 - 76,37 - 59,415300 - 934100,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,,,
Ho Ming Court,Sai Kung,New Territories,22.3217,114.25959,11C,1990,1990,Trident 3,1,816,Ho Ming Court,46 - 64,35 - 49,195200 - 340700,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,,,
Tong Ming Court,Sai Kung,New Territories,22.30786,114.2566,19A,1999,1999,Harmony,3,1920,Tong Fai House Tong Wong House Tong Fu House,53 - 80,39 - 60,862600 - 1577300,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,Wilson Parking (HK) Ltd. Room 2901 Metroplaza Tower 1 Kwai Fong Telephone: 2487 6138 Fax: 2428 6026 Web site: www.wilsonparking.com.hk E-mail: wphk@wilsonparking.com.hk,,
Hin Ming Court,Sai Kung,New Territories,22.3157,114.26866,17B,1996,1996,Harmony,1,759,Hin Ming Court,26 - 74,19 - 56,293800 - 1150100,Not Yet Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Synergis Management Services Ltd. G/F Hin Ming Court Tseung Kwan O Telephone: 2706 6771 Fax: 2706 6687 Web site: http://www.synergis.com.hk,Wilson Parking (HK) Ltd. Room 2901 Metroplaza Tower 1 Kwai Fong Telephone: 2487 6138 Fax: 2428 6026 Web site: www.wilsonparking.com.hk E-mail: wphk@wilsonparking.com.hk,,
Kwong Ming Court,Sai Kung,New Territories,22.3126,114.25989,18B 18C,1998,1998,Harmony,7,4256,Kwong Cheong House Kwong Lung House Kwong Yin House Kwong Sui House Kwong Ying House Kwong Ning House Kwong Sun House,52 - 80,39 - 60,690200 - 1429200,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,,,
Po Ming Court,Sai Kung,New Territories,22.31192,114.258,19C,1998,1998,Harmony,2,1476,Po Chung House Po Pak House,26 - 74,19 - 55,319800 - 1263900,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,,,
Wo Ming Court,Sai Kung,New Territories,22.3157,114.26686,19B 19C,1999,1999,Harmony,4,1640,Wo Yat House Wo Fai House Wo Cheong House Wo Hui House,53 - 80,39 - 60,883100 - 1806600,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,Wilson Parking (HK) Ltd. Room 2901 Metroplaza Tower 1 Kwai Fong Telephone: 2487 6138 Fax: 2428 6026 Web site: www.wilsonparking.com.hk E-mail: wphk@wilsonparking.com.hk,,
Yuk Ming Court,Sai Kung,New Territories,22.31449,114.26744,16B,1996,1996,Harmony,3,1824,Wai Ming House Kwan Ming House Hei Ming House,55 - 83,40 - 60,754300 - 1404900,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Synergis Management Services Ltd. G/F Wai Hing House Yuk Ming Court Tseung Kwan O Telephone: 2623 6863 Fax: 2706 2711 Web site: http://www.synergis.com.hk,Wilson Parking (HK) Ltd. Room 2901 Metroplaza Tower 1 Kwai Fong Telephone: 2487 6138 Fax: 2428 6026 Web site: www.wilsonparking.com.hk E-mail: wphk@wilsonparking.com.hk,,
On Ning Garden,Sai Kung,New Territories,22.3156,114.26297,12A,1991,1991,Private Sector Participation Scheme,6,2300,Block 1 - Block 6,47 - 64,40 - 54,312200 - 528100,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,,,
Fu Ning Garden,Sai Kung,New Territories,22.31939,114.26784,11B 11C,1990,1990,Private Sector Participation Scheme,6,2450,Block 1 - Block 6,46 - 61,42 - 55,269200 - 439700,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,,,
Beverly Garden,Sai Kung,New Territories,22.31062,114.26144,19A 19B,1998,1998,Private Sector Participation Scheme,10,3966,Block 1 - Block 10,46 - 64,40 - 55,894800 - 1895900,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,,,
Hong Sing Garden,Sai Kung,New Territories,22.3197,114.25326,10A,1989,1989,Private Sector Participation Scheme,5,1850,Block 1 - Block 5,46 - 61,41 - 54,235800 - 394500,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,,,
Charming Garden,Yau Tsim Mong,Kowloon,22.3137,114.165,19A 19B,1998,1998,Private Sector Participation Scheme,18,3908,Block 1 - Block 18,46 - 64,40 - 55,1337100 - 2754000,Formed,Kowlooon West and Sai Kung District Tenancy Management Office (11) G/F Hoi Tai House Hoi Fu Court Mongkok Telephone: 2625 4370 Fax: 2625 5071,Appointed by Owners' Corporation,,,
Yue Shing Court,Sha Tin,New Territories,22.37875,114.19286,2A,1980,1980,Old-Cruciform,4,530,Shing Yan House Shing Wing House Shing Cheung House Shing Hong House,55 - 62,45 - 51,191700 - 251000,Formed,Tai Po North & Shatin District Tenancy Management Office (10) G/F Sha Kok Community Hall Sha Kok Estate Shatin Telephone : 2647 1311 Fax : 2637 5251,Appointed by Owners' Corporation,,,
Ching Shing Court,Kwai Tsing,New Territories,22.34974,114.10255,7A,1985,1985,Trident 2,1,800,Ching Shing Court,50 - 64,35 - 45,96600 - 176100,Formed,Lei Muk Shue Estate Office Podium Wing A & C Kwai Shue House Lei Muk Shue Estate Tsuen Wan NT. Tel No. : 2423 7458/2423 7680 Fax No. : 2494 8207/2423 6854,Appointed by Owners' Corporation,,,
Yu Tung Court,Islands,New Territories,22.28706,113.94302,18C,1997,1997,Harmony,5,2640,Heung Tung House Hor Tung House Hei Tung House Kai Tung House Sun Tung House,52 - 80,39 - 60,480300 - 954100,Formed,Islands District Tenancy Management Office G/F. Mun Shun House Mun Tung Estate Tung Chung Lantau Island Hong Kong Telephone : 2320 5099 Fax: 2320 5018,Appointed by Owners' Corporation,Kwik Park Ltd. 7/F Cityplaza One 1111 King's Road Tai Koo Shing Quarry Bay Telephone: 2512 1088 Fax: 2887 6713 Web site: www.guardian-group.com.hk E-mail: kwikdk@guardian-group.com.hk,,
Ching Wah Court,Kwai Tsing,New Territories,22.34875,114.10063,8A 9A,1986,1986,Windwill / NCB,6,2460,Wah Woon House Wah Suen House Wah Pik House Wah Fung House Wah Yan House Wah Cheung House,42 - 76,31 - 59,116800 - 399900,Formed,Lei Muk Shue Estate Office Podium Wing A&C Kwai Shue House Lei Muk Shue Estate Tsuen Wan NT. Tel No. : 2423 7458/2423 7680 Fax No. : 2494 8207/2423 6854,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Lung Hin Court,Islands,New Territories,22.25304,113.86266,20B,1995,1995,Special,4,179,Kam Hin House Lun Hin House Cheong Hin House Wing Hin House,47 - 74,34 - 54,237300 - 447600,Formed,Islands District Tenancy Management Office G/F. Mun Shun House Mun Tung Estate Tung Chung Lantau Island Hong Kong Telephone : 2320 5099 Fax: 2320 5018,Appointed by Owners' Corporation,,,
Ching Nga Court,Kwai Tsing,New Territories,22.36273,114.10458,11A,1989,1989,Trident 3,1,816,Ching Nga Court,46 - 64,35 - 49,199300 - 331800,Formed,Tsing Yi District Tenancy Management Office Wing A & Wing B G/F. Yee Yip House Tsing Yi Estate Tsing Yi NT. Tel No. : 2431 0305 Fax No. : 2435 5137,Appointed by Owners' Corporation,,,
Ching Tai Court,Kwai Tsing,New Territories,22.36289,114.101,9B,1988,1988,NCB,7,2180,Cheung Tai House Po Tai House Hang Tai House Tung Tai House Shing Tai House Chun Tai House Hung Tai House,48 - 77,37 - 59,199900 - 407800,Formed,Tsing Yi District Tenancy Management Office Wing A & Wing B G/F. Yee Yip House Tsing Yi Estate Tsing Yi NT. Tel No. : 2431 0305 Fax No. : 2435 5137,Appointed by Owners' Corporation,,,
Serene Garden,Kwai Tsing,New Territories,22.35324,114.10757,12C,1992,1992,Private Sector Participation Scheme,3,840,Block 1 - Block 3,48 - 65,40 - 54,410500 - 718400,Formed,Tsing Yi District Tenancy Management Office Wing A & Wing B G/F. Yee Yip House Tsing Yi Estate Tsing Yi NT. Tel No. : 2431 0305 Fax No. : 2435 5137,Appointed by Owners' Corporation,,,
Kwun Fai Court,Kowloon City,Kowloon,22.31406,114.18245,Mortgage Subsidy Scheme,1999,1999,Harmony,2,300,Ming Fai House Ko Fai House,51 - 80,26 - 58,533200 - 1359700,Formed,Kowloon West & Sai Kung District Tenancy Management Office (4) G/F Nga Man House Homantin Estate Kowloon Telephone : 2242 0277 Fax : 2194 1305,Urban Property Management Ltd. G/F Ming Fai House Kwun Fai Court No. 1 Sheung Lok Street Homantin. Telephone: 2242 0603 Fax: 2242 0603 Web site: www.urban.com.hk,,,
Kwun Hei Court,Kowloon City,Kowloon,22.31437,114.18327,21A,2000,2000,Harmony,1,796,Kwun Hei Court,26 - 75,19 - 55,373000 - 1634100,Formed,Kowloon West & Sai Kung District Tenancy Management Office (4) G/F Nga Man House Homantin Estate Kowloon Telephone : 2242 0277 Fax : 2194 1305,Appointed by Owners' Corporation,,,
Tin Chung Court,Yuen Long,New Territories,22.46068,114.00032,20A 21A,1999,1999,Concord/Harmony,15,6080,Chung Ting House Chung Toi House Chung Lau House Chung Shui House Chung Pik House Chung Hoi House Chung Ying House Chung Yuet House Chung Yan House Chung Po House Chung Ho House Chung Chak House(BRO) Chung Kam House(BRO) Chung Ki House Chung Wa House,53 - 80,39 - 60,417600 - 1108100,Formed,Yuen Long District Tenancy Management Office(1) G/F Chuen Shui House Shui Pin Wai Estate Yuen Long Telephone: 2442 2461 Fax: 2477 3284,Appointed by Owners' Corporation,Owned and operated by private corporation,,Barrier‐Free Access (BFA) Facilities
Tin Lai Court,Yuen Long,New Territories,22.45288,114.00801,18C,1997,1997,Harmony,1,756,Tin Lai Court,26 - 74,19 - 55,219100 - 808000,Formed,Yuen Long District Tenancy Management Office(1) G/F Chuen Shui House Shui Pin Wai Estate Yuen Long Telephone: 2442 2461 Fax: 2477 3284,Appointed by Owners' Corporation,,,
Tin Oi Court,Yuen Long,New Territories,22.45396,113.99791,14C 14D,1993,1993,Harmony,2,1216,Oi Chiu House Oi Tao House,55 - 82,40 - 60,455300 - 813100,Formed,Yuen Long District Tenancy Management Office(1) G/F Chuen Shui House Shui Pin Wai Estate Yuen Long Telephone: 2442 2461 Fax: 2477 3284,Appointed by Owners' Corporation,,,
Tin Yau Court,Yuen Long,New Territories,22.45186,114.00605,13C 14A,1992,1992,Harmony,3,1824,Yau Hong House Yau Ning House Yau Tai House,55 - 82,40 - 60,294200 - 594100,Formed,Yuen Long District Tenancy Management Office(1) G/F Chuen Shui House Shi Pin Wai Estate Yuen Long Telephone: 2442 2461 Fax: 2477 3284,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Lai Yan Court,Kwai Tsing,New Territories,22.34305,114.1367,23A,2001,2001,Harmony,3,1920,Lai Ying House Lai Choi House Lai Lam House,52 - 79,39 - 59,735700 - 1584800,Formed,Ha Kwai Chung District Tenancy Management Office Wing C G/F Shek Cheung House Shek Lei (II) Estate Kwai Chung Telephone: 2420 6987 Fax: 2429 9431,Appointed by Owners' Corporation,,,
Pang Ching Court,Wong Tai Sin,Kowloon,22.34578,114.19072,12B,1991,1991,Trident 3,1,816,Pang Ching Court,46 - 64,35 - 49,327000 - 534500,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium Temple Mall North 136 Lung Cheung Road Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Yung Shing Court,North,New Territories,22.48279,114.13803,Buy-or-Rent Option,2000,2000,Harmony,1,800,Yung Wui House,25 - 80,19 - 59,258300 - 1015800,Formed,Tai Po North & Shatin District Tenancy Management Office (6) No. 8 G/F Tin Long House Tin Ping Estate Sheung Shui N.T. Telephone : 3698 0061 Fax : 3698 0060,Appointed by Owners' Corporation,Vinci Park Services Hong Kong Ltd. 2/F 350-360 Fuk Wing Street Cheung Sha Wan Telephone: 2729 4400 Fax: 2729 1661 Web site: www.vincipark.com.hk E-mail: hotmail@vincipark.com,,
Kam Fung Court,Sha Tin,New Territories,22.42138,114.22474,17A 17B,1996,1996,Harmony,9,5540,Kam Yung House Kam Ling House Kam Wai House Kam Lei House Kam Kwai House Kam Huen House Kam Mei House Kam Ho House Kam Lan House,53 - 82,40 - 60,713400 - 1384200,Formed,Tai Po North & Shatin District Tenancy Management Office (11) G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners' Corporation,,,
Kam On Court,Sha Tin,New Territories,22.41616,114.2267,9A,1987,1987,NCB,3,1050,Yuk On House Ngan On House Po On House,47 - 76,37 - 59,177900 - 373200,Formed,Tai Po North & Shatin District Tenancy Management Office (11) G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Kam Hay Court,Sha Tin,New Territories,22.42169,114.23088,9C,1989,1989,NCB,3,1050,Kam Foon House Kam Yan House Kam Wing House,47 - 76,37 - 59,196300 - 404100,Formed,Tai Po North & Shatin District Tenancy Management Office (11) G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners' Corporation,,,
Kam Ying Court,Sha Tin,New Territories,22.42341,114.23777,12A 12B,1991,1991,NCB,10,3500,Kam Leung House Kam Kai House Kam Keung House Kam Chi House Kam Dat House Kam Shun House Kam Yuet House Kam Nga House Kam Yiu House Kam Yee House,47 - 76,37 - 59,304700 - 681800,Formed,Tai Po North & Shatin District Tenancy Management Office (11) Unit 1-15 G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Kam Lung Court,Sha Tin,New Territories,22.42616,114.2403,13B 14B,1993,1993,NCB,4,1400,Lung Yuet House Lung Yan House Lung Yiu House Lung Sing House,47 - 76,37 - 59,432800 - 1092100,Formed,Tai Po North & Shatin District Tenancy Management Office (11) G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Kam Tai Court,Sha Tin,New Territories,22.40795,114.22109,19C,2000,2000,Concord,12,3440,Kam Fu House Kam Pong House Kam Hing House Kam Shing House Kam Wei House Kam Lai House Kam Ching House Kam Ying House Kam Tin House Kam Pui House Kam Man House Kam Kei House,61 - 79,47 - 60,1094100 - 2050200,Formed,Shui Chuen O Estate Office (Sub-office) G/F Sung Chuen House Shui Chuen O Estate Shatin N.T. Telephone: 2868 2052 Fax: 2868 2346,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Fu Fai Garden,Sha Tin,New Territories,22.42475,114.23333,12C,1992,1992,Private Sector Participation Scheme,2,520,Block 1 - Block 2,49 - 65,40 - 53,439900 - 708300,Formed,Tai Po North & Shatin District Tenancy Management Office (11) G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners' Corporation,,,
Fok On Garden,Sha Tin,New Territories,22.42456,114.22925,13A,1992,1992,Private Sector Participation Scheme,2,600,Block 1 - Block 2,48 - 67,40 - 55,441100 - 740800,Formed,Tai Po North & Shatin District Tenancy Management Office (11) G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners' Corporation,,,
Saddle Ridge Garden,Sha Tin,New Territories,22.42435,114.23958,14A 14B,1993,1993,Private Sector Participation Scheme,12,4200,Block 1 - Block 12,46 - 64,40 - 55,565200 - 1032400,Formed,Tai Po North & Shatin District Tenancy Management Office (11) G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners' Corporation,,,
Chevalier Garden,Sha Tin,New Territories,22.40411,114.22385,8C 9B,1988,1988,Private Sector Participation Scheme,17,3942,Block 1 - Block 17,45 - 63,39 - 55,142300 - 340600,Formed,Tai Po North & Shatin District Tenancy Management Office (11) G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners' Corporation,,,
Hong Nga Court,Kwun Tong,Kowloon,22.30568,114.23831,13C 14A,1993,1993,Harmony,3,1824,Tao Nga House Lai Nga House Heng Nga House,55 - 82,40 - 60,571400 - 1140500,Formed,Housing Department Shun On Estate Office G/F On Chung House Shun On Estate Kwun Tong Kowloon Telephone: 2342 8259 Fax: 2763 6041,Appointed by Owners' Corporation,,,
King Nga Court,Tai Po,New Territories,22.4407,114.16641,13B,1992,1992,NCB,2,700,King Yan House King Yuet House,47 - 76,37 - 59,417700 - 884900,Formed,Tai Po North & Shatin District Tenancy Management Office (7) 2/F On Wo House Tai Wo Estate Tai Po N.T. Telephone: 2657 2808 Fax: 2657 8660,Appointed by Owners' Corporation,,,
Bauhinia Garden,Sai Kung,New Territories,22.30678,114.26232,22B,2001,2001,Private Sector Participation Scheme,8,3200,Block 1 - Block 8,46 - 64,39 - 54,579800 - 1327200,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Shui On Properties Management Ltd G/F Carpark Bldg Bauhinia Garden Tseung Kwan O NT. Telephone: 2623 4890 Fax: 2623 4287,,,E-mail: sopm@shuion.com.hk
Ming Nga Court,Tai Po,New Territories,22.45187,114.1747,7C,1985,1985,Windwill,3,1680,Ming Hoi House Ming Yan House Ming Cheong House,42 - 55,31 - 40,101400 - 217000,Formed,Tai Po North & Shatin District Tenancy Management Office (8) Units 221 - 240 2/F. Shek Yuk House Chun Shek Estate Shatin Telephone: 2694 4408 Fax : 2647 1930,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Sun Hing Garden,Tai Po,New Territories,22.45349,114.17282,8A,1986,1986,Private Sector Participation Scheme,5,1460,Hong Che Court Hong Man Court Hong Shing Court Hong Shun Court Hong Yan Court,45 - 63,39 - 55,183200 - 337100,Formed,Tai Po North & Shatin District Tenancy Management Office (8) Units 221 - 240 2/F. Shek Yuk House Chun Shek Estate Shatin Telephone: 2694 4408 Fax : 2647 1930,Appointed by Owners' Corporation,,,
