objectid,dataset_en,dataset_tc,name_en,address_en,name_tc,address_tc,search01_en,search01_tc,nsearch01_en,nsearch01_tc,nsearch02_en,nsearch02_tc,nsearch03_en,nsearch03_tc,nsearch04_en,nsearch04_tc,nsearch05_en,nsearch05_tc,nsearch06_en,nsearch06_tc,nsearch07_en,nsearch07_tc,nsearch08_en,nsearch08_tc,northing,easting,latitude,longitude,lastupdate
11,Waste Management Facilities,廢物處理設施,Y·PARK,"Lung Kwu Sheung Tan, Tuen Mun",Y·PARK [林·區],屯門龍鼓上灘,YARD WASTE RECYCLING CENTRE,園林廢物回收中心,,,The handling capacity of Y · PARK is about 15 tonnes per day.,林·區每日可處理約15公噸園林廢物。,,,Mon to Sat 9:00am to 6:00pm (except public holidays),星期一至六 上午9時至下午6時 (公眾假期除外),5743 9221 / 9728 9341,5743 9221 / 9728 9341,,,info@ypark.hk,info@ypark.hk,https://www.ypark.hk/en/,https://www.ypark.hk/zh-hant/,829415.85160718,808917.44959134,22.40381459,113.91125145,20250915093514
12,Waste Management Facilities,廢物處理設施,O · PARK2,"Organic Resources Recovery Centre Phase 2, Kong Nga Po Road, Organic Resources Recovery Centre Phase 2, Sha Ling, N.T.",O · PARK2,"新界沙嶺缸瓦甫路,有機資源回收中心第二期",ORGANIC RESOURCES RECOVERY CENTRE,有機資源回收中心,,,300 tonnes of organic waste per day,每日300公噸有機廢物,,,8:00-22:00 (daily throughout the year),每天上午 08 時 00 分至晚上 10 時 00 分(年中無休),2216 3274,2216 3274,3529 2715,3529 2715,opark2@epd.gov.hk,opark2@epd.gov.hk,,,843069.0,831416.0,22.52732,114.12971,20240919141024
13,Waste Management Facilities,廢物處理設施,EcoPark,"133 Lung Mun Road, Tuen Mun, New Territories.",環保園,新界屯門龍門路 133 號,ECOPARK,環保園,N.A.,N.A.,"Processed 184,000 tonnes recyclables in 2020","2020年的回收處理量為184,000公噸",N.A.,N.A.,Mon-Sat 9am-6pm Closed on Sunday (Management Office),"星期一至六, 上午九時至下午六時 星期日休息(管理公司)",2496 7633,2496 7633,2496 7588,2496 7588,enquiry@ecopark.com.hk,enquiry@ecopark.com.hk,https://www.ecopark.com.hk,https://www.ecopark.com.hk,825391.02085797,810795.65387861,22.36749756,113.9295563,20240402161048
14,Waste Management Facilities,廢物處理設施,O · PARK1,"Organic Resources Recovery Centre Phase 1, 5 Sham Fung Road, Siu Ho Wan, North Lantau",O · PARK1,"香港新界北大嶼山小蠔灣深豐路5號, 有機資源回收中心第一期",ORGANIC RESOURCES RECOVERY CENTRE,有機資源回收中心,,,200 tonnes of organic waste per day,每日200公噸有機廢物,,,8:00-22:00 (daily throughout the year),每天上午 08 時 00 分至晚上 10 時 00 分(年中無休),2285 7604,2285 7604,3528 0492,3528 0492,,,https://www.opark.gov.hk/en/index.php,https://www.opark.gov.hk/tc/index.php,819509.0,817816.4,22.3144696,113.9977902,20230329154725
15,Waste Management Facilities,廢物處理設施,T·PARK,"No. 25 Nim Wan Road, Tsang Tsui, Tuen Mun",T·PARK [源·區],屯門曾咀稔灣路25號,SLUDGE TREATMENT FACILITY,污泥處理設施,,,"about 1,100 tonnes per day of sewage sludge (2021)","每天約1,100公噸污泥 (2021年)","2,000 tonnes per day of sewage sludge","每天2,000公噸污泥","07:00 - 20:00 (Stonecutters Island Sewage Treatment Works sludge vehicles only)<br/>08:00 - 19:00 (Other Sewage Treatment Works sludge vehicles)<br/>10:00 - 19:00 on Mon, Wed to Sun (Public Visiting Hours of the Environmental Education Centre)","07:00 - 20:00 (適用於昂船洲污水處理廠的污泥車輛)<br/>08:00 - 19:00 (適用於其他污水處理廠的污泥車輛)<br/>10:00 - 19:00 星期一, 星期三至星期日 (環境教育中心公眾參觀時間)",2910 9700,2910 9700,,,info@tpark.hk,info@tpark.hk,https://www.tpark.hk/en/,https://www.tpark.hk/tc/,831510.36513472,810403.83017041,22.42275196,113.92565276,20220310130806
16,Waste Management Facilities,廢物處理設施,WEEE·PARK,"Lot P2, P3 and P4, EcoPark, 133 Lung Mun Road, Tuen Mun, New Territories",廢電器電子產品處理及回收設施,"新界屯門龍門路 133 號環保園P2, P3及P4地段",WASTE ELECTRICAL AND ELECTRONIC TREATMENT AND RECYCLING FACILITY,廢電器電子產品處理及回收設施,N.A.,N.A.,N.A.,N.A.,"30,000 tonnes of regulated WEEE annually","每年30,000公噸受管制廢電器電子產品",08:00 - 18:00 on Mon - Sat for regulated WEEE reception; Closed on Sun and Public Holidays,接收受管制廢電器電子產品的時間: 星期一至星期六 08:00 - 18:00; 星期日及公眾假期休息,2371 2822,2371 2822,N.A.,N.A.,enquiry@weee.com.hk,enquiry@weee.com.hk,https://weee.gov.hk,https://weee.gov.hk,825415.0,810988.0,22.36771694,113.93142345,20210715144606
17,Waste Management Facilities,廢物處理設施,Island West Transfer Station (IWTS),"Mount Davis, Kennedy Town (underground inside cavern)",港島西廢物轉運站,港島堅尼地城摩星嶺(地下岩洞內),REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,"about 1,153 tonnes per day","每日平均約 1,153 公噸",N.A.,N.A.,7:30 to 23:30,上午 07 時 30 分至晚上 11 時 30 分,2818 2896,2818 2896,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_iwts.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_iwts.html,815823.75515415,830324.03633865,22.28127817,114.11919808,20210630121910
18,Waste Management Facilities,廢物處理設施,Outlying Islands Transfer Facilities (OITF) - Cheung Chau,"1 Cheung Kwai Road, Cheung Chau",離島廢物轉運設施 - 長洲,長洲長貴路1號,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,7:30-18:30,7:30-18:30,2981 4066,2981 4066,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_oitf.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_oitf.html,808928.67803397,820675.02502956,22.21895099,114.02563752,20210630121910
19,Waste Management Facilities,廢物處理設施,South East New Territories (SENT) Landfill,"Tai Chik Sha, Tseung Kwan O",新界東南堆填區,將軍澳大赤沙,STRATEGIC LANDFILL,策略性堆填區,43 Mm³,"4,300 萬立方米","about 2,000 tonnes per day (2020)","約每日 2,000 公噸 (2020 年)",N.A.,N.A.,08:00- 22:00 (daily throughout the year),每天上午 08 時 00 分至晚上 22 時 00 分 (年中無休),2706 8800,2706 8800,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_sent.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_sent.html,815915.54876904,846900.11174075,22.28208454,114.28004185,20210630121909
20,Waste Management Facilities,廢物處理設施,Island East Transfer Station (IETS),"Sun Yip Street, Chai Wan",港島東廢物轉運站,柴灣新業街,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,"about 1,225 tonnes per day","每日平均約 1,225 公噸",N.A.,N.A.,07:30 to 23:30,上午 07 時 30 分至晚上 11 時 30 分,2898 3577,2898 3577,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_iets.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_iets.html,814333.0,843519.0,22.26781066,114.24722648,20210630121908
21,Waste Management Facilities,廢物處理設施,North West New Territories Transfer Station (NWNTTS),"Shun Tat Street, Tuen Mun (near Lam Tei)",新界西北廢物轉運站,屯門順達街 ( 鄰近藍地 ),REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,"about 1,260 tonnes per day","每日平均約 1,260 公噸",N.A.,N.A.,07:30 to 19:00 (daily except Chinese New Year Day),上午 07 時 30 分至晚上 07 時 00 分<br/>(農曆年初一暫停),2696 3499,2696 3499,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_nwntrts.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_nwntrts.html,831481.0,817681.0,22.42258122,113.99633676,20210630121908
22,Waste Management Facilities,廢物處理設施,Outlying Islands Transfer Facilities (OITF) - Peng Chau,Peng Chau,離島廢物轉運設施 - 坪洲,坪洲,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,7:30-18:30,7:30-18:30,2983 9536,2983 9536,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_oitf.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_oitf.html,816747.1204274,821491.23013077,22.28956367,114.03348205,20210630121907
23,Waste Management Facilities,廢物處理設施,Outlying Islands Transfer Facilities (OITF) - Hei Ling Chau,Hei Ling Chau,離島廢物轉運設施 - 喜靈洲,喜靈洲,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,For use by Correctional Services Department only,按懲教署要求,2986 6629,2986 6629,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_oitf.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_oitf.html,813097.10303589,820784.93407419,22.25659557,114.02666343,20210630121907
24,Waste Management Facilities,廢物處理設施,Shatin Transfer Station (STTS),"Sha Tin, New Territories",沙田廢物轉運站,新界沙田,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,"about 1,655 tonnes per day","每日平均約 1,655 公噸",N.A.,N.A.,07:30 to 23:30,上午 07 時 30 分至晚上 11 時 30 分,2649 0213,2649 0213,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_stts.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_stts.html,827595.0,839884.0,22.38758572,114.21198824,20210630121906
